"""About the data: Exported on Oct 13, 2022. Criteria: 'adaptive blockchain' in title and abstract; Publication Year is 2018 or 2019 or 2020 or 2021 or 2022. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Source title,Anthology title,Publisher,MeSH terms,Publication Date,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Research Organizations - standardized,GRID IDs,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,UIDs of supporting grants,Supporting Grants,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Cancer Types,CSO Categories,Units of Assessment,Sustainable Development Goals
5023,pub.1132687860,10.3390/s20226503,33202552,PMC7697744,IoT Adaptive Dynamic Blockchain Networking Method Based on Discrete Heartbeat Signals,"The combination of blockchain technology and Internet of Things (IoT) technology has brought many significant advantages and new development directions. With the development of embedded technology and 5G communication technology, the performance limitations and network limitations that are traditionally believed to restrict the application of blockchain technology to IoT devices have been broken. The development of ""blockchain + 5G + IoT"" provides reliable data from the source for the blockchain, linking the credible mapping of physical assets and digital assets. However, at the beginning of the blockchain design, the application of the IoT was not fully considered, so there have been some obvious defects in applying the blockchain technology in the IoT. In the Byzantine fault tolerance (BFT) consensus algorithm of traditional blockchain, the entire blockchain network will become paralyzed when more than 1/3 of the nodes in the network are offline. However, in IoT applications, this situation is likely to occur and greatly limits the security and stability of the application of blockchain technology in the IoT. In order to solve this problem, we proposed an IoT adaptive dynamic blockchain networking method based on discrete heartbeat signals. The feature of the method is to set a different monitoring time for each group of nodes, that is, discrete heartbeat signals monitoring. When the number of nodes gradually decreases, the IoT adaptive dynamic blockchain network can dynamically adapt to this process. Even when more than 1/3 of the IoT are offline, the adaptive dynamic IoT blockchain network can maintain stable running. This method also has the advantages of a short network expectation recovery time and avoids instantaneous system paralysis caused by the thundering herd effect. This research improves the security and stability of the application of blockchain technology in the IoT, and provides the necessary technical foundation for the better combination of blockchain technology and IoT technology.",,Sensors,,MDPI,,2020-11-14,2020,2020-11-14,,20,22,6503,All OA; Gold,Article,"Hu, Xueyang; Zheng, Yili; Su, Yu; Guo, Rui","Hu, Xueyang (School of Technology, Beijing Forestry University, Beijing 100083, China;, huxueyang@bjfu.edu.cn); Zheng, Yili (School of Technology, Beijing Forestry University, Beijing 100083, China;, huxueyang@bjfu.edu.cn); Su, Yu (Chaintofuture Technology Limited, Beijing 100081, China;, suyu@ultrain.io, (Y.S.);, rayguo@ultrain.io, (R.G.)); Guo, Rui (Chaintofuture Technology Limited, Beijing 100081, China;, suyu@ultrain.io, (Y.S.);, rayguo@ultrain.io, (R.G.))","Zheng, Yili (Beijing Forestry University)","Hu, Xueyang (Beijing Forestry University); Zheng, Yili (Beijing Forestry University); Su, Yu (); Guo, Rui ()",Beijing Forestry University,grid.66741.32,Beijing,,China,National Natural Science Foundation of China,,China,grant.8196263,31670719,2,2,0.63,0.99,3,https://www.mdpi.com/1424-8220/20/22/6503/pdf,https://app.dimensions.ai/details/publication/pub.1132687860,46 Information and Computing Sciences; 4605 Data Management and Data Science; 4606 Distributed Computing and Systems Software,,,,,,B11 Computer Science and Informatics; B12 Engineering,
3845,pub.1150981816,10.3390/s22186842,36146191,PMC9505721,ASSERT: A Blockchain-Based Architectural Approach for Engineering Secure Self-Adaptive IoT Systems,"Internet of Things (IoT) systems are complex systems that can manage mission-critical, costly operations or the collection, storage, and processing of sensitive data. Therefore, security represents a primary concern that should be considered when engineering IoT systems. Additionally, several challenges need to be addressed, including the following ones. IoT systems' environments are dynamic and uncertain. For instance, IoT devices can be mobile or might run out of batteries, so they can become suddenly unavailable. To cope with such environments, IoT systems can be engineered as goal-driven and self-adaptive systems. A goal-driven IoT system is composed of a dynamic set of IoT devices and services that temporarily connect and cooperate to achieve a specific goal. Several approaches have been proposed to engineer goal-driven and self-adaptive IoT systems. However, none of the existing approaches enable goal-driven IoT systems to automatically detect security threats and autonomously adapt to mitigate them. Toward bridging these gaps, this paper proposes a distributed architectural Approach for engineering goal-driven IoT Systems that can autonomously SElf-adapt to secuRity Threats in their environments (ASSERT). ASSERT exploits techniques and adopts notions, such as agents, federated learning, feedback loops, and blockchain, for maintaining the systems' security and enhancing the trustworthiness of the adaptations they perform. The results of the experiments that we conducted to validate the approach's feasibility show that it performs and scales well when detecting security threats, performing autonomous security adaptations to mitigate the threats and enabling systems' constituents to learn about security threats in their environments collaboratively.",,Sensors,,MDPI,,2022-09-09,2022,2022-09-09,,22,18,6842,All OA; Gold,Article,"Alkhabbas, Fahed; Alsadi, Mohammed; Alawadi, Sadi; Awaysheh, Feras M.; Kebande, Victor R.; Moghaddam, Mahyar T.","Alkhabbas, Fahed (Internet of Things and People Research Center, Malmö University, 21119 Malmö, Sweden; Department of Computer Science and Media Technology, Malmö University, 21119 Malmö, Sweden); Alsadi, Mohammed (Department of Computer Science, Norwegian University of Science and Technology, 7491 Trondheim, Norway); Alawadi, Sadi (Department of Information Technology, Uppsala University, 75105 Uppsala, Sweden; Center for Applied Intelligent Systems Research, School of Information Technology, Halmstad University, 30118 Halmstad, Sweden); Awaysheh, Feras M. (Institute of Computer Science, Delta Research Centre, University of Tartu, 51009 Tartu, Estonia); Kebande, Victor R. (Department of Computer Science (DIDA), Blekinge Institute of Technology, 37179 Karlskrona, Sweden); Moghaddam, Mahyar T. (The Maersk Mc-Kinney Moller Institute (MMMI), University of Southern Denmark, 5230 Odense, Denmark)","Alkhabbas, Fahed (Malmö University; Malmö University)","Alkhabbas, Fahed (Malmö University; Malmö University); Alsadi, Mohammed (Norwegian University of Science and Technology); Alawadi, Sadi (Uppsala University; Halmstad University); Awaysheh, Feras M. (University of Tartu); Kebande, Victor R. (Blekinge Institute of Technology); Moghaddam, Mahyar T. (University of Southern Denmark)",Halmstad University; Blekinge Institute of Technology; University of Southern Denmark; Uppsala University; University of Tartu; Norwegian University of Science and Technology; Malmö University,grid.73638.39; grid.418400.9; grid.10825.3e; grid.8993.b; grid.10939.32; grid.5947.f; grid.32995.34,Halmstad; Karlskrona; Odense; Uppsala; Tartu; Trondheim; Malmo,; ; Syddanmark; ; ; ; ,Sweden; Sweden; Denmark; Sweden; Estonia; Norway; Sweden,European Commission,cOAlition S; EC & ERC - European Union,Belgium,,,0,0,,,1,https://www.mdpi.com/1424-8220/22/18/6842/pdf?version=1663048703,https://app.dimensions.ai/details/publication/pub.1150981816,46 Information and Computing Sciences; 4604 Cybersecurity and Privacy; 4605 Data Management and Data Science; 4606 Distributed Computing and Systems Software,,,,,,B11 Computer Science and Informatics,
3765,pub.1143281463,10.3390/s21227656,34833732,PMC8619443,Blockchain-Based Context-Aware Authorization Management as a Service in IoT,"Internet of Things (IoT) applications bring evolved and intelligent services that can help improve users' daily lives. These applications include home automation, health care, and smart agriculture. However, IoT development and adoption face various security and privacy challenges that need to be overcome. As a promising security paradigm, context-aware security enables one to enforce security and privacy mechanisms adaptively. Moreover, with the advancements in edge computing, context-aware security services can dynamically be placed close to a user's location and enable the support of low latency communication and mobility. Therefore, the design of an adaptive and decentralized access control mechanism becomes a necessity. In this paper, we propose a decentralized context-aware authorization management as a service based on the blockchain. The proposed architecture extends the Authentication and Authorization for Constrained Environments (ACE) framework with blockchain technology and context-awareness capabilities. Instead of a classic Open Authorization 2.0 (OAuth) access token, it uses a new contextual access token. The evaluation results show our proposition's effectiveness and advantages in terms of usability, security, low latency, and energy consumption.",,Sensors,,MDPI,Blockchain; Computer Security; Delivery of Health Care; Internet of Things; Privacy,2021-11-18,2021,2021-11-18,,21,22,7656,All OA; Gold,Article,"Sylla, Tidiane; Mendiboure, Leo; Chalouf, Mohamed Aymen; Krief, Francine","Sylla, Tidiane (Laboratoire Bordelais de Recherche en Informatique, Bordeaux INP, CNRS, Université de Bordeaux, UMR 5800, 33400 Talence, France;, francine.krief@bordeaux-inp.fr,; Institute of Applied Sciences, University of Sciences, Techniques and Technologies of Bamako, Bamako, Mali); Mendiboure, Leo (COSYS-ERENA Lab, Université Gustave Eiffel, 33067 Pessac, France;, leo.mendiboure@univ-eiffel.fr); Chalouf, Mohamed Aymen (IRISA Lab, CNRS, Université de Rennes 1, UMR 6074, 22300 Lannion, France;, mohamed-aymen.chalouf@irisa.fr); Krief, Francine (Laboratoire Bordelais de Recherche en Informatique, Bordeaux INP, CNRS, Université de Bordeaux, UMR 5800, 33400 Talence, France;, francine.krief@bordeaux-inp.fr,)","Sylla, Tidiane (Laboratoire Bordelais de Recherche en Informatique; Université des Sciences, des Techniques et des Technologies de Bamako)","Sylla, Tidiane (Laboratoire Bordelais de Recherche en Informatique; Université des Sciences, des Techniques et des Technologies de Bamako); Mendiboure, Leo (Université Gustave Eiffel); Chalouf, Mohamed Aymen (University of Rennes 1); Krief, Francine (Laboratoire Bordelais de Recherche en Informatique)","Université Gustave Eiffel; Laboratoire Bordelais de Recherche en Informatique; Université des Sciences, des Techniques et des Technologies de Bamako; University of Rennes 1",grid.509737.f; grid.503269.b; grid.461088.3; grid.410368.8,Champs-sur-Marne; Talence; Bamako; Rennes,; ; ; ,France; France; Mali; France,,,,,,2,2,,,2,https://www.mdpi.com/1424-8220/21/22/7656/pdf?version=1637227036,https://app.dimensions.ai/details/publication/pub.1143281463,46 Information and Computing Sciences; 4604 Cybersecurity and Privacy; 4605 Data Management and Data Science; 4606 Distributed Computing and Systems Software,,,,,,B11 Computer Science and Informatics,7 Affordable and Clean Energy
3685,pub.1125551157,10.1371/journal.pone.0228844,32155156,PMC7064206,TrustBlock: An adaptive trust evaluation of SDN network nodes based on double-layer blockchain,"The data layer devices in the Software Defined Network (SDN) play an important role in packet forwarding. However, whether the forwarding task can be efficiently completed by the node has not attracted enough attention. A method called TrustBlock is proposed in this paper, which introduces trust as a security attribute in SDN routing planning. Besides, in order to enhance the integrity and controllability of trust evaluation, the double-layer blockchain architecture is established. In the first layer, the behavior data of the node is recorded, and then the trust calculation is performed in the second layer. In the evaluation model, nodes' trust is calculated from three aspects: direct trust, indirect trust and historical trust. Firstly, from the perspective of security, blockchain is used to achieve identity authentication of nodes, after that, from the perspective of reliability, the forwarding status is used to calculate the trust value. Secondly, consensus algorithm is used to filter malicious recommendation trust value and prevent colluding attacks. Finally, the adaptive historical trust weight is designed to prevent the periodic attack. In this paper, the entropy method is used to determine the weight of each evaluation attribute, which can avoid the problem that the subjective judgment method is not adaptable to the weight setting. Simulation results show that the detection rate of the TrustBlock is up to 98.89%, which means this model can effectively identify the abnormal nodes in SDN. Moreover, it is attractive in terms of integrity and controllability.","This research was funded by Wuhan Frontier Program of Application Foundation, grant number 2018010401011295; and National High Technology Research and Development Program of China (“863” Program), grant number 2015AA016002.",PLOS ONE,,Public Library of Science (PLoS),"Algorithms; Blockchain; Computer Communication Networks; Models, Theoretical; Remote Sensing Technology; Research Design; Software",2020-03-10,2020,2020-03-10,,15,3,e0228844,All OA; Gold,Article,"Zhao, Bo; Liu, Yifan; Li, Xiang; Li, Jiayue; Zou, Jianwen","Zhao, Bo (Key Laboratory of Aerospace Information Security and Trusted Computing, Ministry of Education, School of Cyber Science and Engineering, Wuhan University, Wuhan, China); Liu, Yifan (Key Laboratory of Aerospace Information Security and Trusted Computing, Ministry of Education, School of Cyber Science and Engineering, Wuhan University, Wuhan, China); Li, Xiang (Key Laboratory of Aerospace Information Security and Trusted Computing, Ministry of Education, School of Cyber Science and Engineering, Wuhan University, Wuhan, China); Li, Jiayue (Key Laboratory of Aerospace Information Security and Trusted Computing, Ministry of Education, School of Cyber Science and Engineering, Wuhan University, Wuhan, China); Zou, Jianwen (Key Laboratory of Aerospace Information Security and Trusted Computing, Ministry of Education, School of Cyber Science and Engineering, Wuhan University, Wuhan, China)","Liu, Yifan (Wuhan University)","Zhao, Bo (Wuhan University); Liu, Yifan (Wuhan University); Li, Xiang (Wuhan University); Li, Jiayue (Wuhan University); Zou, Jianwen (Wuhan University)",Wuhan University,grid.49470.3e,Wuhan,,China,Ministry of Science and Technology of the People's Republic of China,,China,,,12,11,0.37,6.27,1,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0228844&type=printable,https://app.dimensions.ai/details/publication/pub.1125551157,46 Information and Computing Sciences; 4604 Cybersecurity and Privacy; 4606 Distributed Computing and Systems Software,,,,,,B11 Computer Science and Informatics,
3278,pub.1149817112,10.1038/s41598-022-17043-z,35902617,PMC9334452,Artificial intelligence based optimization with deep learning model for blockchain enabled intrusion detection in CPS environment,"Cyber physical system (CPS) is a network of cyber and physical elements, which interact with one another in a feedback form. CPS approves critical infrastructure and is treated as essential in day to day since it forms the basis of futuristic smart devices. An increased usage of CPSs poses security as a challenging issue and intrusion detection systems (IDS) can be applied for the identification of network intrusions. The latest advancements in the field of artificial intelligence (AI) and deep learning (DL) enables to design effective IDS models for the CPS environment. At the same time, metaheuristic algorithms can be employed as a feature selection approach in order to reduce the curse of dimensionality. With this motivation, this study develops a novel Poor and Rich Optimization with Deep Learning Model for Blockchain Enabled Intrusion Detection in CPS Environment, called PRO-DLBIDCPS technique. The proposed PRO-DLBIDCPS technique initially introduces an Adaptive Harmony Search Algorithm (AHSA) based feature selection technique for proper selection of feature subsets. For intrusion detection and classification, and attention based bi-directional gated recurrent neural network (ABi-GRNN) model is applied. In addition, the detection efficiency of the ABi-GRNN technique has been enhanced by the use of Poor and rich optimization (PRO) algorithm based hyperparameter optimizer, which resulted in enhanced intrusion detection results. Furthermore, blockchain technology is applied for enhancing security in the CPS environment. In order to demonstrate the enhanced outcomes of the PRO-DLBIDCPS technique, a wide range of simulations was carried out on benchmark dataset and the results reported the better outcomes of the PRO-DLBIDCPS technique in terms of several measures.",,Scientific Reports,,Springer Nature,"Algorithms; Artificial Intelligence; Blockchain; Deep Learning; Neural Networks, Computer",2022-07-28,2022,2022-07-28,2022-12,12,1,12937,All OA; Gold,Article,"Mansour, Romany F.","Mansour, Romany F. (Department of Mathematics, Faculty of Science, New Valley University, 72511, El-Kharga, Egypt)","Mansour, Romany F. (Assiut University)","Mansour, Romany F. (Assiut University)",Assiut University,grid.252487.e,Assiut,,Egypt,,,,,,0,0,,,,https://www.nature.com/articles/s41598-022-17043-z.pdf,https://app.dimensions.ai/details/publication/pub.1149817112,46 Information and Computing Sciences; 4602 Artificial Intelligence; 4604 Cybersecurity and Privacy,,,,,,B11 Computer Science and Informatics,"9 Industry, Innovation and Infrastructure"
3154,pub.1106056694,10.1098/rsos.180422,30225029,PMC6124024,Proof of Kernel Work: a democratic low-energy consensus for distributed access-control protocols,"We adjust the Proof of Work (PoW) consensus mechanism used in Bitcoin and Ethereum so that we can build on its strength while also addressing, in part, some of its perceived weaknesses. Notably, our work is motivated by the high energy consumption for mining PoW, and we want to restrict the use of PoW to a configurable, expected size of nodes, as a function of the local blockchain state. The approach we develop for this rests on three pillars: (i) Proof of Kernel Work (PoKW), a means of dynamically reducing the set of nodes that can participate in the solving of PoW puzzles such that an adversary cannot increase his attack surface because of such a reduction; (ii) Practical Adaptation of Existing Technology, a realization of this PoW reduction through an adaptation of existing blockchain and enterprise technology stacks; and (iii) Machine Learning for Adaptive System Resiliency, the use of techniques from artificial intelligence to make our approach adaptive to system, network and attack dynamics. We develop here, in detail, the first pillar and illustrate the second pillar through a real use case, a pilot project done with Porsche on controlling permissions to vehicle and data log accesses. We also discuss pertinent attack vectors for PoKW consensus and their mitigation. Moreover, we sketch how our approach may lead to more democratic PoKW-based blockchain systems for public networks that may inherit the resilience of blockchains based on PoW.",,Royal Society Open Science,,The Royal Society,,2018-08-08,2018,2018-08-08,2018-08,5,8,180422,All OA; Gold,Article,"Lundbk, Leif-Nissen; Beutel, Daniel Janes; Huth, Michael; Jackson, Stephen; Kirk, Laurence; Steiner, Robert","Lundbk, Leif-Nissen (Imperial College London, London SW7 2AZ, UK); Beutel, Daniel Janes (Oxford University, Oxford OX1 2JD, UK); Huth, Michael (Imperial College London, London SW7 2AZ, UK); Jackson, Stephen (XAIN Research, Schmiedestra, e 2, 15745 Wildau, Germany); Kirk, Laurence (Oxford University, Oxford OX1 2JD, UK); Steiner, Robert (XAIN Research, Schmiedestra, e 2, 15745 Wildau, Germany)","Lundbk, Leif-Nissen (Imperial College London)","Lundbk, Leif-Nissen (Imperial College London); Beutel, Daniel Janes (University of Oxford); Huth, Michael (Imperial College London); Jackson, Stephen (); Kirk, Laurence (University of Oxford); Steiner, Robert ()",Imperial College London; University of Oxford,grid.7445.2; grid.4991.5,London; Oxford,Westminster; Oxfordshire,United Kingdom; United Kingdom,Engineering and Physical Sciences Research Council,cOAlition S; UKRI - UK Research and Innovation,United Kingdom,grant.4850499; grant.4576701,EP/N023242/1; EP/N020030/1,9,3,0.1,2.65,36,https://royalsocietypublishing.org/doi/pdf/10.1098/rsos.180422,https://app.dimensions.ai/details/publication/pub.1106056694,46 Information and Computing Sciences; 4606 Distributed Computing and Systems Software,,,,,,B11 Computer Science and Informatics,7 Affordable and Clean Energy
1002,pub.1120035326,10.48550/arxiv.1907.13232,,,Blockguard: Adaptive Blockchain Security,"We consider the problem of varying the security of blockchain transactions
according to their importance. This adaptive security is achieved by using
variable size consensus committees. To improve performance, such committees
function concurrently. We present two algorithms that allow adaptive security
by forming concurrent variable size consensus committees on demand. One is
based on a single joint blockchain, the other is based on separate sharded
blockchains. For in-committee consensus, our algorithms may use various
available byzantine-robust fault tolerant algorithms (BFT). We implement
synchronous BFT, asynchronous BFT and proof-of-work consensus. We thoroughly
evaluate the performance of our adaptive security algorithms.",,arXiv,,,,2019-07-30,2019,,,,,,All OA; Green,Preprint,"Rai, Shishir; Hood, Kendric; Nesterenko, Mikhail; Sharma, Gokarna","Rai, Shishir (); Hood, Kendric (); Nesterenko, Mikhail (); Sharma, Gokarna ()",,"Rai, Shishir (); Hood, Kendric (); Nesterenko, Mikhail (); Sharma, Gokarna ()",,,,,,,,,,,0,0,,0,2,,https://app.dimensions.ai/details/publication/pub.1120035326,46 Information and Computing Sciences; 4604 Cybersecurity and Privacy,,,,,,B11 Computer Science and Informatics,
993,pub.1132959253,10.1007/978-3-030-62625-9_3,,,A Preventive Intrusion Detection Architecture Using Adaptive Blockchain Method,"Abstract
This paper presents a network intrusion behavior detection utilizing an adaptive blockchain mechanism. A Layered Voting Rule System (LVRS) is introduced, which contains a positive layer, negative layer and propagation layer which trains the blockchain using the power consumption of the users to transfer and receive the data. The performance of the network is analyzed using Quality of Service (QoS) parameters, including throughput and power consumption. The observed throughput and power consumption of the proposed model is improved by more than 30% as compared to the model without blockchain.",,Communications in Computer and Information Science,"Big Data, Machine Learning, and Applications",Springer Nature,,2020-11-28,2020,2020-11-28,2020,1317,,25-35,Closed,Chapter,"Sharma, Pratima; Jindal, Rajni; Borah, Malaya Dutta","Sharma, Pratima (Delhi Technological University, Delhi, India); Jindal, Rajni (Delhi Technological University, Delhi, India); Borah, Malaya Dutta (National Institute of Technology Silchar, Silchar, India)","Sharma, Pratima (Delhi Technological University)","Sharma, Pratima (Delhi Technological University); Jindal, Rajni (Delhi Technological University); Borah, Malaya Dutta (National Institute Of Technology Silchar)",National Institute Of Technology Silchar; Delhi Technological University,grid.444720.1; grid.440678.9,Silchar; New Delhi,Assam; ,India; India,,,,,,2,2,,0.95,,,https://app.dimensions.ai/details/publication/pub.1132959253,46 Information and Computing Sciences; 4606 Distributed Computing and Systems Software,,,,,,B11 Computer Science and Informatics,
987,pub.1143524235,10.1504/ijwgs.2022.119273,,,Adaptive practical Byzantine fault tolerance consensus algorithm in permission blockchain network,"Blockchain is a distributed ledger or data structure. Combined with many other technologies, it uses the internet of things, cloud computing, artificial intelligence, big data, and machine learning. Several industries, especially governments, have employed blockchain technology to overcome a variety of security challenges. Blockchain focuses on double-spending and distributed consensus. However, blockchain networks are inefficient and scalable. Communication overhead occurs due to many replications. This paper proposes an adaptive practical Byzantine fault tolerance algorithm in permission blockchains. This method divides the node into trust nodes and faulty nodes. The nodes with faulty reputations are excluded from voting. Also, the identified trust node has a high reputation in the consensus process. A majority of voting values select the master node. This adaptive PBFT algorithm is excellent for long-term periodicity and increased scalability, and lower overall communication costs. Finally, the performance of adaptive PBFT is compared to other algorithms.",,International Journal of Web and Grid Services,,Inderscience Publishers,,2021-10-25,2021,2021-10-25,2022,18,1,62-82,Closed,Article,"Navaroj, G. Indra; Julie, E. Golden; Robinson, Y. Harold","Navaroj, G. Indra (Department of Information Technology, Jayaraj Annapackiam CSI College of Engineering, India); Julie, E. Golden (Department of Computer Science and Engineering, Anna University Regional Campus, Tirunelveli, India); Robinson, Y. Harold (School of Information Technology and Engineering, Vellore Institute of Technology, Vellore, India)",,"Navaroj, G. Indra (); Julie, E. Golden (Anna University, Chennai); Robinson, Y. Harold (Vellore Institute of Technology University)","Vellore Institute of Technology University; Anna University, Chennai",grid.412813.d; grid.252262.3,Vellore; Chennai,Tamil Nadu; Tamil Nadu,India; India,,,,,,4,4,,,,,https://app.dimensions.ai/details/publication/pub.1143524235,46 Information and Computing Sciences; 4604 Cybersecurity and Privacy; 4606 Distributed Computing and Systems Software,,,,,,B11 Computer Science and Informatics,
971,pub.1122275288,10.35940/ijitee.i9009.078919,,,Adaptive Security Framework for the Blockchain on IOT,"Current blockchain technologies lack adapt- ability required to accommodate incoming heterogeneous devices as nodes in the Blockchain network. This inability becomes more pronounced when it comes to blockchains for Internet of Things (IOT) due to varied capabilities and heterogeneity of constituent devices in IOT network. Specifically, security solutions which are used by Blockchain in IoT domain lack support for adapting with different network resources, ranging from low power devices to high end servers. This paper presents an adaptive security framework for blockchain based IOT architectures. The security framework consists of a dynamic resource computation algorithm based on which the network adapts to the existing resources and decides which security services to offer",,International Journal of Innovative Technology and Exploring Engineering,,Blue Eyes Intelligence Engineering and Sciences Engineering and Sciences Publication - BEIESP,,2019-07-10,2019,2019-07-10,,8,9,3327-3331,All OA; Gold,Article,,,,,,,,,,,,,,,0,0,,0,,https://doi.org/10.35940/ijitee.i9009.078919,https://app.dimensions.ai/details/publication/pub.1122275288,46 Information and Computing Sciences; 4604 Cybersecurity and Privacy; 4605 Data Management and Data Science; 4606 Distributed Computing and Systems Software,,,,,,B11 Computer Science and Informatics,
964,pub.1142223989,10.1109/brains52497.2021.9569814,,,Adaptive layer-two dispute cutoffs in smart-contract blockchains,"Second-layer or off-chain protocols aim to increase the throughput of permissionless blockchains by enabling parties to lock funds into smart-contracts and perform payments through peer-to-peer communication, only resorting to the smart-contracts for protection against fraud. Current protocols have fixed periods during which participants can dispute any fraud attempts. However, current blockchains have limited transaction processing capacity, so a fixed dispute period will not always be sufficient to deter all fraudulent behaviour in an off-chain protocol. In this paper we present a novel mechanism for adaptive dispute cutoffs (ADCs) which ensure that users retain the opportunity to dispute fraudulent behaviours despite blockchain congestion, while increasing second-layer protocol efficiency by reducing dispute period lengths when the number of disputes is low. We present a non-interactive argument system for setting adaptive dispute periods under the current Ethereum Virtual Machine, and describe how to efficiently integrate built-in support for adaptive dispute periods in any blockchain using binary-indexed trees. We empirically demonstrate that an ADC-enabled second -layer protocol can handle a larger number of disputes and prevent more fraud than its non-adaptive counterparts even when users are slow to issue disputes, due to denial of service or blockchain congestion.",We&#x27;d like to thank our anonymous reviewers for their valuable feedback on this paper. This work was made possible with the generous funding and support of the Imperial College London President&#x27;s PhD Scholarship program. We&#x27;d like to thank our anonymous reviewers for their valuable feedback on this paper. This work was made possible with the generous funding and support of the Imperial College London President&#x27;s PhD Scholarship program.,,2021 3rd Conference on Blockchain Research & Applications for Innovative Networks and Services (BRAINS),Institute of Electrical and Electronics Engineers (IEEE),,2021-01-30,2021,,2021-01-30,00,,129-136,Closed,Proceeding,"Khalil, Rami; Dulay, Naranker","Khalil, Rami (Imperial College, London); Dulay, Naranker (Imperial College, London)",,"Khalil, Rami (Imperial College London); Dulay, Naranker (Imperial College London)",Imperial College London,grid.7445.2,London,Westminster,United Kingdom,Imperial College London,,United Kingdom,,,0,0,,,1,,https://app.dimensions.ai/details/publication/pub.1142223989,46 Information and Computing Sciences; 4606 Distributed Computing and Systems Software,Prevention,,,,,B11 Computer Science and Informatics,
